date_time,total_inbound,total_outbound
2021-09-01 00:05:00,126576336896.0,385441562624.0
2021-09-01 00:10:00,121215565824.0,374187261952.0
2021-09-01 00:15:00,118922584064.0,367834136576.0
2021-09-01 00:20:00,115215327232.0,361222275072.0
2021-09-01 00:25:00,112560455680.0,350994628608.0
2021-09-01 00:30:00,110583185408.0,342369271808.0
2021-09-01 00:35:00,108329738240.0,335775793152.0
2021-09-01 00:40:00,105561350144.0,322875228160.0
2021-09-01 00:45:00,103681736704.0,318616371200.0
2021-09-01 00:50:00,101908062208.0,315155185664.0
2021-09-01 00:55:00,98941222912.0,306390892544.0
2021-09-01 01:00:00,98462040064.0,297569583104.0
2021-09-01 01:05:00,96353132544.0,301810745344.0
2021-09-01 01:10:00,94031847424.0,299177607168.0
2021-09-01 01:15:00,93637976064.0,293631262720.0
2021-09-01 01:20:00,92216844288.0,288308330496.0
2021-09-01 01:25:00,91913232384.0,283134132224.0
2021-09-01 01:30:00,87861846016.0,275273318400.0
2021-09-01 01:35:00,87143030784.0,271780577280.0
2021-09-01 01:40:00,86737592320.0,268220170240.0
2021-09-01 01:45:00,85503352832.0,261030854656.0
2021-09-01 01:50:00,83662028800.0,258920497152.0
2021-09-01 01:55:00,83097903104.0,250598129664.0
2021-09-01 02:00:00,81614561280.0,245714026496.0
2021-09-01 02:05:00,80402931712.0,252449947648.0
2021-09-01 02:10:00,76839862272.0,248163008512.0
2021-09-01 02:15:00,75185807360.0,241266966528.0
2021-09-01 02:20:00,73695477760.0,238580989952.0
2021-09-01 02:25:00,72645779456.0,232139096064.0
2021-09-01 02:30:00,71094411264.0,227369517056.0
2021-09-01 02:35:00,70525960192.0,222667980800.0
2021-09-01 02:40:00,68452888576.0,218372063232.0
2021-09-01 02:45:00,66460164096.0,214182920192.0
2021-09-01 02:50:00,66128084992.0,208001187840.0
2021-09-01 02:55:00,65072705536.0,205632602112.0
2021-09-01 03:00:00,62343168000.0,202964074496.0
2021-09-01 03:05:00,61515788288.0,200871165952.0
2021-09-01 03:10:00,60963471360.0,195894624256.0
2021-09-01 03:15:00,59673243648.0,190867619840.0
2021-09-01 03:20:00,57617448960.0,185598656512.0
2021-09-01 03:25:00,56159346688.0,183150788608.0
2021-09-01 03:30:00,46070304768.0,131736920064.0
2021-09-01 03:35:00,44824784896.0,132167958528.0
2021-09-01 03:40:00,53552783360.0,174963736576.0
2021-09-01 03:45:00,52720635904.0,173018791936.0
2021-09-01 03:50:00,52000473088.0,169952903168.0
2021-09-01 03:55:00,50819395584.0,167759413248.0
2021-09-01 04:00:00,49996443648.0,163916431360.0
2021-09-01 04:05:00,49458397184.0,162441854976.0
2021-09-01 04:10:00,49058185216.0,160321683456.0
2021-09-01 04:15:00,48994033664.0,157671882752.0
2021-09-01 04:20:00,47993098240.0,158347657216.0
2021-09-01 04:25:00,47407370240.0,152491491328.0
2021-09-01 04:30:00,47429591040.0,151017979904.0
2021-09-01 04:35:00,48322940928.0,150329294848.0
2021-09-01 04:40:00,47322583040.0,147626901504.0
2021-09-01 04:45:00,46605639680.0,148740210688.0
2021-09-01 04:50:00,45462220800.0,148173635584.0
2021-09-01 04:55:00,44289982464.0,148589887488.0
2021-09-01 05:00:00,44177489920.0,149032943616.0
2021-09-01 05:05:00,45938737152.0,167926988800.0
2021-09-01 05:10:00,46522191872.0,162408562688.0
2021-09-01 05:15:00,48055672832.0,159655493632.0
2021-09-01 05:20:00,46381686784.0,161364983808.0
2021-09-01 05:25:00,45248315392.0,159070535680.0
2021-09-01 05:30:00,45452333056.0,163189473280.0
2021-09-01 05:35:00,45988544512.0,166317375488.0
2021-09-01 05:40:00,45699936256.0,163341910016.0
2021-09-01 05:45:00,46984343552.0,168655503360.0
2021-09-01 05:50:00,46041964544.0,168337965056.0
